E	1	15	E!Envelope_small_membrane_protein_Species:Human_SARS_coronavirus_(SARS-CoV)__1	56.8	0	100	15
E	16	30	E!Envelope_small_membrane_protein_Species:Human_SARS_coronavirus_(SARS-CoV)__16	54.4	0	100	15
E	31	45	E!Envelope_small_membrane_protein_Species:Human_SARS_coronavirus_(SARS-CoV)__31	60.1	0	100	15
E	46	60	E!Envelope_small_membrane_protein_Species:Human_SARS_coronavirus_(SARS-CoV)__46	45.8	2	86.67	15
E	61	68	E!Envelope_small_membrane_protein_Species:Human_SARS_coronavirus_(SARS-CoV)__61	29.3	0	100	8
M	54	63	M!Membrane_protein_Species:Human_coronavirus_229E_(HCoV-229E)__46	31.4	2	80	10
M	92	105	M!Membrane_protein_Species:Human_coronavirus_229E_(HCoV-229E)__91	28.9	5	64.29	14
M	45	59	M!Membrane_protein_Species:Human_coronavirus_HKU1_(HCoV-HKU1)__46	42.4	5	66.67	15
M	92	103	M!Membrane_protein_Species:Human_coronavirus_HKU1_(HCoV-HKU1)__91	25.1	5	58.33	12
M	110	119	M!Membrane_protein_Species:Human_coronavirus_HKU1_(HCoV-HKU1)__106	35.3	1	90	10
M	91	102	M!Membrane_protein_Species:Human_coronavirus_NL63__91	27.7	5	58.33	12
M	110	117	M!Membrane_protein_Species:Human_coronavirus_NL63__106	31.4	1	87.5	8
M	101	115	M!Membrane_protein_Species:Human_coronavirus_OC43__106	40.3	3	80	15
M	191	204	M!Membrane_protein_Species:Human_coronavirus_OC43__196	26.2	6	57.14	14
M	5	16	M!Membrane_protein_Species:Human_SARS_coronavirus_(SARS-CoV)__1	38.4	1	91.67	12
M	17	31	M!Membrane_protein_Species:Human_SARS_coronavirus_(SARS-CoV)__16	56.9	1	93.33	15
M	34	46	M!Membrane_protein_Species:Human_SARS_coronavirus_(SARS-CoV)__31	47.1	1	92.31	13
M	47	61	M!Membrane_protein_Species:Human_SARS_coronavirus_(SARS-CoV)__46	58.9	1	93.33	15
M	62	76	M!Membrane_protein_Species:Human_SARS_coronavirus_(SARS-CoV)__61	57.4	1	93.33	15
M	77	91	M!Membrane_protein_Species:Human_SARS_coronavirus_(SARS-CoV)__76	53.6	1	93.33	15
M	92	106	M!Membrane_protein_Species:Human_SARS_coronavirus_(SARS-CoV)__91	57.1	1	93.33	15
M	107	121	M!Membrane_protein_Species:Human_SARS_coronavirus_(SARS-CoV)__106	59.5	0	100	15
M	122	136	M!Membrane_protein_Species:Human_SARS_coronavirus_(SARS-CoV)__121	42.5	3	80	15
M	137	150	M!Membrane_protein_Species:Human_SARS_coronavirus_(SARS-CoV)__136	47.5	1	92.86	14
M	152	166	M!Membrane_protein_Species:Human_SARS_coronavirus_(SARS-CoV)__151	52.1	1	93.33	15
M	167	181	M!Membrane_protein_Species:Human_SARS_coronavirus_(SARS-CoV)__166	55.7	0	100	15
M	182	196	M!Membrane_protein_Species:Human_SARS_coronavirus_(SARS-CoV)__181	44.9	2	86.67	15
M	198	210	M!Membrane_protein_Species:Human_SARS_coronavirus_(SARS-CoV)__196	52.8	0	100	13
M	47	59	M!Membrane_protein_Species:MERS_46	32	5	61.54	13
M	92	106	M!Membrane_protein_Species:MERS_91	37	5	66.67	15
M	110	121	M!Membrane_protein_Species:MERS_106	42.2	1	91.67	12
N	110	117	N!Nucleoprotein_Species:Human_coronavirus_229E_(HCoV-229E)__76	33.6	0	100	8
N	63	74	N!Nucleoprotein_Species:Human_coronavirus_HKU1_(HCoV-HKU1)__76	28	3	75	12
N	107	117	N!Nucleoprotein_Species:Human_coronavirus_HKU1_(HCoV-HKU1)__121	47.8	0	100	11
N	167	176	N!Nucleoprotein_Species:Human_coronavirus_HKU1_(HCoV-HKU1)__181	25.9	3	70	10
N	110	117	N!Nucleoprotein_Species:Human_coronavirus_NL63__76	33.6	0	100	8
N	128	137	N!Nucleoprotein_Species:Human_coronavirus_NL63__91	29.2	3	70	10
N	190	203	N!Nucleoprotein_Species:Human_coronavirus_NL63__151	26.5	6	57.14	14
N	106	119	N!Nucleoprotein_Species:Human_coronavirus_OC43__121	53.1	1	92.86	14
N	123	134	N!Nucleoprotein_Species:Human_coronavirus_OC43__136	27.5	4	66.67	12
N	1	7	N!Nucleoprotein_Species:Human_SARS_coronavirus_(SARS-CoV)__1	29.1	0	100	7
N	15	29	N!Nucleoprotein_Species:Human_SARS_coronavirus_(SARS-CoV)__16	44.3	3	80	15
N	30	44	N!Nucleoprotein_Species:Human_SARS_coronavirus_(SARS-CoV)__31	43.8	3	80	15
N	45	59	N!Nucleoprotein_Species:Human_SARS_coronavirus_(SARS-CoV)__46	59.1	0	100	15
N	60	74	N!Nucleoprotein_Species:Human_SARS_coronavirus_(SARS-CoV)__61	50.3	2	86.67	15
N	75	89	N!Nucleoprotein_Species:Human_SARS_coronavirus_(SARS-CoV)__76	55.1	1	93.33	15
N	90	104	N!Nucleoprotein_Species:Human_SARS_coronavirus_(SARS-CoV)__91	51.2	2	86.67	15
N	105	119	N!Nucleoprotein_Species:Human_SARS_coronavirus_(SARS-CoV)__106	61.4	0	100	15
N	121	134	N!Nucleoprotein_Species:Human_SARS_coronavirus_(SARS-CoV)__121	49	2	85.71	14
N	135	149	N!Nucleoprotein_Species:Human_SARS_coronavirus_(SARS-CoV)__136	56.8	0	100	15
N	150	164	N!Nucleoprotein_Species:Human_SARS_coronavirus_(SARS-CoV)__151	45.4	2	86.67	15
N	165	179	N!Nucleoprotein_Species:Human_SARS_coronavirus_(SARS-CoV)__166	56.4	0	100	15
N	180	194	N!Nucleoprotein_Species:Human_SARS_coronavirus_(SARS-CoV)__181	44.9	2	86.67	15
N	195	209	N!Nucleoprotein_Species:Human_SARS_coronavirus_(SARS-CoV)__196	50.5	1	93.33	15
N	210	224	N!Nucleoprotein_Species:Human_SARS_coronavirus_(SARS-CoV)__211	36.9	4	73.33	15
N	225	239	N!Nucleoprotein_Species:Human_SARS_coronavirus_(SARS-CoV)__226	51	1	93.33	15
N	240	254	N!Nucleoprotein_Species:Human_SARS_coronavirus_(SARS-CoV)__241	55.6	0	100	15
N	255	269	N!Nucleoprotein_Species:Human_SARS_coronavirus_(SARS-CoV)__256	52.7	1	93.33	15
N	270	284	N!Nucleoprotein_Species:Human_SARS_coronavirus_(SARS-CoV)__271	57.8	0	100	15
N	285	299	N!Nucleoprotein_Species:Human_SARS_coronavirus_(SARS-CoV)__286	55.5	1	93.33	15
N	300	314	N!Nucleoprotein_Species:Human_SARS_coronavirus_(SARS-CoV)__301	60.1	0	100	15
N	315	329	N!Nucleoprotein_Species:Human_SARS_coronavirus_(SARS-CoV)__316	58.3	0	100	15
N	330	344	N!Nucleoprotein_Species:Human_SARS_coronavirus_(SARS-CoV)__331	52	1	93.33	15
N	346	359	N!Nucleoprotein_Species:Human_SARS_coronavirus_(SARS-CoV)__346	48.3	1	92.86	14
N	360	374	N!Nucleoprotein_Species:Human_SARS_coronavirus_(SARS-CoV)__361	59.4	0	100	15
N	375	389	N!Nucleoprotein_Species:Human_SARS_coronavirus_(SARS-CoV)__376	45.4	3	80	15
